Subject,AccelerometerX,AccelerometerY,AccelerometerZ,GyroscopeX,GyroscopeY,GyroscopeZ,marker
BtnAAB216B5,320,-2663,3149,-104,-53,189, 
BtnAAB216B5,338,-2692,3133,-92,-55,195, 
BtnAAB216B5,325,-2713,3117,-76,-46,197, 
BtnAAB216B5,329,-2668,3145,-76,-29,188, 
BtnAAB216B5,316,-2653,3099,-82,-23,179, 
BtnAAB216B5,247,-2632,3054,-83,-17,178, 
BtnAAB216B5,210,-2631,3037,-84,-22,176, 
BtnAAB216B5,279,-2647,3082,-91,-40,158, 
BtnAAB216B5,332,-2649,3066,-101,-61,136, 
BtnAAB216B5,364,-2664,3012,-105,-72,109, 
BtnAAB216B5,416,-2624,3030,-103,-75,86, 
BtnAAB216B5,433,-2651,3051,-110,-75,62, 
BtnAAB216B5,420,-2695,3081,-108,-70,41, 
BtnAAB216B5,431,-2726,3084,-103,-63,26, 
BtnAAB216B5,411,-2779,3076,-101,-54,12, 
BtnAAB216B5,434,-2775,3067,-99,-55,-3, 
BtnAAB216B5,415,-2828,3038,-91,-53,-10, 
BtnAAB216B5,429,-2842,3028,-86,-49,-7, 
BtnAAB216B5,401,-2848,3058,-86,-44,-10, 
BtnAAB216B5,379,-2858,3086,-84,-43,-11, 
BtnAAB216B5,366,-2899,3137,-79,-38,-13, 
BtnAAB216B5,415,-2913,3163,-70,-36,-7, 
BtnAAB216B5,403,-2907,3193,-52,-28,-3, 
BtnAAB216B5,419,-2888,3194,-38,-17,9, 
BtnAAB216B5,396,-2859,3173,-21,-8,16, 
BtnAAB216B5,395,-2867,3165,-6,-2,21, 
BtnAAB216B5,396,-2848,3155,4,1,29, 
BtnAAB216B5,387,-2833,3160,8,7,34, 
BtnAAB216B5,382,-2812,3154,16,13,40, 
BtnAAB216B5,386,-2799,3148,22,25,46, 
BtnAAB216B5,363,-2783,3142,29,35,52, 
BtnAAB216B5,360,-2761,3125,34,43,56, 
BtnAAB216B5,347,-2769,3111,38,51,60, 
BtnAAB216B5,312,-2779,3073,41,55,61, 
BtnAAB216B5,301,-2795,3058,44,54,64, 
BtnAAB216B5,274,-2805,3049,44,47,67, 
BtnAAB216B5,279,-2802,3045,45,44,70, 
BtnAAB216B5,285,-2781,3051,48,45,72, 
BtnAAB216B5,291,-2753,3047,45,51,72, 
BtnAAB216B5,269,-2731,3075,44,63,73, 
BtnAAB216B5,274,-2709,3096,40,74,77, 
BtnAAB216B5,252,-2685,3112,38,82,78, 
BtnAAB216B5,234,-2698,3084,38,85,81, 
BtnAAB216B5,222,-2721,3097,38,88,85, 
BtnAAB216B5,180,-2785,3106,39,83,85, 
BtnAAB216B5,156,-2824,3103,43,74,92, 
BtnAAB216B5,148,-2824,3112,49,64,98, 
BtnAAB216B5,142,-2808,3133,54,58,105, 
BtnAAB216B5,169,-2758,3136,60,60,114, 
BtnAAB216B5,210,-2689,3125,64,65,121, 
BtnAAB216B5,224,-2631,3139,66,75,125, 
BtnAAB216B5,222,-2601,3144,70,94,126, 
BtnAAB216B5,187,-2587,3166,73,106,128, 
BtnAAB216B5,130,-2604,3181,75,108,127, 
BtnAAB216B5,78,-2637,3163,73,98,126, 
BtnAAB216B5,69,-2660,3153,70,82,126, 
BtnAAB216B5,83,-2671,3146,69,65,128, 
BtnAAB216B5,109,-2644,3139,69,55,128, 
BtnAAB216B5,128,-2601,3136,71,53,126, 
BtnAAB216B5,153,-2567,3146,75,59,126, 
BtnAAB216B5,163,-2529,3170,75,70,120, 
BtnAAB216B5,135,-2532,3193,74,74,114, 
BtnAAB216B5,100,-2539,3206,70,78,108, 
BtnAAB216B5,72,-2556,3196,64,73,100, 
BtnAAB216B5,58,-2555,3190,60,62,91, 
BtnAAB216B5,56,-2567,3175,55,52,85, 
BtnAAB216B5,69,-2568,3162,54,48,80, 
BtnAAB216B5,84,-2563,3163,52,47,77, 
BtnAAB216B5,94,-2568,3163,49,47,71, 
BtnAAB216B5,89,-2566,3170,46,49,63, 
BtnAAB216B5,71,-2559,3176,44,56,59, 
BtnAAB216B5,59,-2572,3193,42,57,53, 
BtnAAB216B5,42,-2588,3210,41,56,48, 
BtnAAB216B5,24,-2597,3215,40,54,44, 
BtnAAB216B5,5,-2601,3193,40,50,41, 
BtnAAB216B5,1,-2595,3174,39,46,40, 
BtnAAB216B5,-3,-2589,3174,40,38,37, 
BtnAAB216B5,3,-2591,3168,39,28,35, 
