sequence,AccelerometerX,AccelerometerY,AccelerometerZ,GyroscopeX,GyroscopeY,GyroscopeZ
421,91,112,1001,-110,-127,-803
422,96,116,986,-163,-145,-733
423,111,109,971,-213,-79,-639
424,113,106,968,-217,-42,-629
425,103,105,984,-172,-34,-651
426,112,97,977,-104,5,-651
427,99,81,1006,-86,-8,-643
428,113,82,1010,-155,-42,-629
429,110,92,991,-307,-67,-616
430,102,103,991,-403,-102,-588
431,98,112,991,-368,-108,-590
432,102,127,991,-258,-67,-608
433,110,116,988,-65,-22,-612
434,109,101,995,107,1,-631
435,102,103,1017,150,5,-635
436,104,91,1017,123,-12,-610
437,98,81,999,31,-30,-577
438,99,81,985,-104,-26,-543
439,98,74,979,-239,-22,-495
440,85,66,971,-282,0,-481
441,96,63,983,-245,48,-510
442,102,90,988,-170,93,-561
443,111,98,1004,-131,93,-586
444,110,109,1002,-137,70,-575
445,105,108,978,-131,52,-526
446,102,112,1013,-75,52,-499
447,100,101,990,-2,87,-514
448,111,99,1024,64,132,-530
449,116,94,1024,125,128,-545
450,107,83,1034,136,93,-524
451,93,73,1024,68,42,-497
452,110,59,1016,-96,-2,-461
453,99,59,1002,-274,-43,-436
454,100,64,980,-342,-36,-444
455,100,78,988,-280,19,-479
456,96,86,1000,-112,85,-542
457,108,98,1015,72,103,-618
458,100,107,1034,150,70,-639
459,90,110,1039,136,39,-596
460,107,110,1011,48,3,-532
461,103,123,979,-108,-30,-489
462,102,125,972,-225,-43,-446
463,99,142,945,-231,-22,-395
464,96,138,948,-149,37,-379
465,95,129,964,-67,111,-393
466,73,129,994,5,173,-413
467,105,133,981,64,210,-403
468,100,131,1003,70,199,-417
469,101,161,1012,29,195,-387
470,97,163,1007,-10,191,-333
471,96,153,1003,-28,183,-280
472,99,161,1010,-40,166,-252
473,91,155,1016,-38,150,-239
474,87,155,1010,-30,144,-233
475,89,160,1023,-42,130,-196
476,83,157,1018,-84,107,-124
477,82,135,1009,-98,101,-86
478,80,121,987,-49,113,-75
479,84,94,995,52,150,-114
480,84,94,1002,132,210,-178
481,84,108,1045,164,244,-223
482,97,130,1064,195,199,-245
483,92,125,1066,173,119,-206
484,90,129,1058,125,46,-145
485,81,110,1045,64,21,-75
486,94,95,1028,-2,23,-40
487,82,101,1023,-57,46,-16
488,83,91,1019,-98,31,1
489,81,79,1008,-125,33,-8
490,87,77,978,-147,54,-45
491,82,81,1007,-139,89,-71
492,87,84,1021,-155,148,-83
493,94,90,1025,-180,169,-92
494,110,116,1030,-192,128,-106
495,101,113,1037,-137,68,-108
496,94,114,1025,-77,25,-81
497,87,127,1028,-28,-14,-77
498,89,117,1009,-20,-18,-75
499,94,101,1016,-20,15,-55
500,90,94,1007,-45,54,-30
501,100,97,999,-122,66,-10
502,91,95,1019,-213,42,9
