AccelerometerX,AccelerometerY,AccelerometerZ
441,536,7698
569,519,7500
509,425,7297
336,353,7155
126,209,7077
-28,31,7090
-29,-101,6965
192,-137,6504
475,-167,5996
797,-282,5540
971,-438,4892
854,-465,4354
692,-482,3925
632,-514,3608
766,-442,3400
1110,-357,3072
1596,-218,2751
2167,-53,2442
2551,159,2099
2491,429,2018
2135,530,2051
1822,463,1949
1893,485,1809
2438,603,1674
3221,716,1544
3806,854,1525
4051,902,1523
3861,862,1393
3095,831,1367
2145,813,1513
1426,736,1659
1258,694,1615
1471,789,1473
1694,982,1363
1581,1116,1368
1111,1114,1328
518,1194,1266
-36,1423,1236
-260,1645,1309
-179,1635,1233
56,1554,1073
207,1537,826
-67,1646,690
-635,1771,877
-1046,1676,1127
-1105,1489,1171
-887,1494,985
-757,1750,874
-682,1771,886
-629,1514,951
-816,1341,1047
-1083,1374,1230
-1146,1375,1418
-1014,1294,1466
-915,1388,1392
-985,1737,1531
-1229,1839,1915
-1471,1531,2296
-1496,1277,2493
-1399,1279,2688
-1293,1253,2863
-1244,1082,2883
-1246,996,2893
-1304,961,3188
-1489,763,3315
-1643,850,3405
-1722,1111,3697
-1843,1061,4005
-1903,826,4235
-1747,563,4224
-1683,526,4175
-1673,535,4393
-1828,374,4898
-2246,190,5132
-2510,414,5474
-2550,657,5778
-2489,550,5686
-2290,349,5509
-2075,200,5440
-1987,69,5329
-1966,96,5636
-2161,42,6250
-2552,-158,6420
-2885,-128,6384
-3040,-99,6126
-2819,-245,5612
-2367,-417,5042
-1972,-601,4757
-1858,-816,4725
-2041,-893,5072
-2395,-880,5630
-2774,-823,5982
-3027,-699,6161
-3003,-805,6120
-2518,-1166,5859
-1653,-1416,5564
-945,-1397,5463
-822,-1239,5854
-1241,-1203,6474
-1843,-1296,6941
-2165,-1401,7248
-1955,-1596,7345
-1316,-1891,7232
-580,-2013,7054
61,-1943,6952
519,-1850,6709
755,-1710,6487
796,-1597,6450
826,-1619,6373
829,-1627,6227
913,-1616,6055
1210,-1664,5642
1675,-1694,5072
2229,-1566,4497
2644,-1263,4076
2707,-902,3878
2432,-664,3788
2097,-704,3586
1863,-835,3405
1791,-882,3336
1870,-848,3258
1943,-698,3163
1968,-488,3093
1854,-374,3054
1569,-404,3055
1179,-399,3225
803,-400,3437
525,-384,3601
397,-343,3727
386,-282,3857
345,-222,3906
257,-143,3880
199,-55,3903
88,-24,3945
-31,-51,3914
-110,-18,3945
-203,26,4048
-263,41,4069
-274,76,4033
-247,87,4008
-168,20,3964
-167,10,3945
-229,18,3946
-302,78,3907
-419,182,3932
-551,212,4023
-656,158,4077
-619,92,4094
-444,91,4109
-303,142,4107
-202,212,4106
-174,243,4104
-220,234,4099
-340,222,4078
-515,193,4169
-624,91,4217
-671,64,4220
-662,148,4230
-581,185,4227
-468,191,4224
-400,199,4183
-388,224,4166
-331,208,4181
-272,188,4146
-358,254,4155
-565,296,4241
-735,233,4318
-776,136,4337
-692,81,4285
-480,129,4202
-281,217,4141
