AccelerometerX,AccelerometerY,AccelerometerZ
359,900,-2170
544,1269,-2463
660,1594,-2709
718,1785,-2853
675,1864,-2846
587,1918,-2757
451,1997,-2629
363,2033,-2498
494,1995,-2430
770,1884,-2384
1035,1767,-2321
1235,1743,-2267
1320,1787,-2212
1324,1778,-2119
1276,1706,-2016
1276,1661,-1815
1277,1598,-1616
1199,1471,-1428
1030,1358,-1215
816,1322,-992
623,1331,-740
555,1256,-513
524,1097,-303
418,912,-29
307,728,320
158,682,886
-322,806,1788
-784,1003,2591
-1008,943,2945
-1088,522,3276
-1182,52,3494
-1074,-302,3798
-742,-194,4131
-533,368,4470
-610,1168,4682
-834,1694,4789
-1103,1599,5300
-1608,1146,6332
-2131,935,7474
-2441,1156,8403
-2400,1650,9006
-2144,2095,9057
-1979,2273,8982
-1909,2134,8951
-1893,1771,9141
-1772,1465,9325
-1573,1325,9263
-1414,1357,9013
-1317,1651,8613
-1364,1979,8137
-1370,2039,7582
-1285,1910,6993
-1121,1697,6485
-891,1455,6000
-722,1268,5523
-637,1115,5116
-527,973,4710
-457,891,4374
-477,943,4146
-618,1136,4058
-823,1301,4033
-867,1358,3931
-835,1328,3814
-798,1249,3717
-831,1121,3683
-804,1032,3709
-671,1072,3718
-517,1193,3712
-486,1309,3742
-533,1348,3787
-582,1330,3872
-560,1272,3996
-481,1187,4077
-412,1130,4085
-393,1132,4050
-440,1180,4037
-538,1263,4083
-652,1323,4108
-781,1311,4129
-867,1251,4187
-858,1218,4270
-804,1211,4316
-762,1201,4293
-765,1177,4234
-762,1161,4192
-735,1180,4202
-657,1196,4178
-629,1172,4160
-647,1150,4157
-667,1127,4171
-690,1153,4170
-708,1200,4153
-712,1233,4118
-691,1247,4077
-675,1230,4065
-695,1199,4072
-689,1188,4065
-648,1229,4089
-611,1265,4120
-628,1246,4135
-630,1204,4133
-644,1168,4121
-648,1148,4084
-621,1138,4053
-594,1132,4025
-528,1124,4012
-514,1166,4025
-538,1217,4054
-588,1247,4056
-637,1238,4049
-672,1211,4036
-698,1195,4033
-704,1191,4039
-655,1208,4036
-606,1213,4036
-616,1219,4045
-661,1194,4046
-675,1163,4050
-621,1159,4028
-580,1170,4036
-548,1170,4036
-519,1166,4028
-513,1193,4054
-556,1237,4099
-597,1248,4098
-639,1211,4075
-667,1192,4074
-656,1200,4092
-590,1226,4098
-538,1235,4077
-536,1222,4077
-542,1220,4054
-548,1226,4054
-555,1206,4069
-570,1185,4107
-573,1179,4140
-578,1175,4117
-585,1197,4095
-585,1226,4072
-567,1242,4048
-564,1254,4052
-564,1235,4072
-545,1218,4071
-521,1194,4094
-534,1191,4116
-569,1189,4137
-600,1183,4141
-581,1194,4141
-545,1194,4138
