AccelerometerX,AccelerometerY,AccelerometerZ,GyroscopeX,GyroscopeY,GyroscopeZ
-1261.0,2090.0,1306.0,-775.0,352.0,344.0
-1824.0,2230.0,2873.0,-1492.0,1218.0,-490.0
-1828.0,1976.0,4286.0,-2402.0,2545.0,-1408.0
-1645.0,1397.0,5564.0,-3421.0,4274.0,-2524.0
-1015.0,1042.0,5707.0,-4398.0,5789.0,-3927.0
-772.0,1734.0,2731.0,-5328.0,6669.0,-5495.0
-2099.0,3635.0,-3563.0,-6448.0,7898.0,-6707.0
-5510.0,3256.0,-9688.0,-7607.0,9776.0,-7718.0
-12779.0,-3758.0,-7996.0,-8115.0,12108.0,-8657.0
-19782.0,-6690.0,-4976.0,-6918.0,14460.0,-9186.0
-19617.0,-495.0,-1901.0,-3615.0,16867.0,-9466.0
-14207.0,1042.0,-412.0,-6353.0,11867.0,-6225.0
-8170.0,1330.0,43.0,-8055.0,8190.0,-1166.0
-5119.0,1437.0,403.0,-925.0,479.0,1227.0
-1773.0,1714.0,1385.0,716.0,-6510.0,819.0
-1395.0,1697.0,1829.0,-604.0,-10282.0,1898.0
-975.0,1697.0,1722.0,-503.0,-11374.0,4159.0
-447.0,1731.0,1280.0,-252.0,-10926.0,5726.0
-237.0,1713.0,1071.0,91.0,-10060.0,6772.0
-309.0,1825.0,817.0,235.0,-9235.0,7285.0
-446.0,1825.0,502.0,517.0,-8550.0,7292.0
-110.0,1503.0,260.0,1142.0,-8054.0,7258.0
544.0,1291.0,88.0,1782.0,-7575.0,7261.0
1578.0,1302.0,-323.0,2321.0,-7073.0,7193.0
2657.0,1530.0,-590.0,2768.0,-7018.0,6930.0
3713.0,1796.0,-739.0,2906.0,-7166.0,6545.0
4410.0,1946.0,-750.0,2628.0,-7129.0,5999.0
4481.0,1894.0,-739.0,2233.0,-7269.0,5178.0
4094.0,1646.0,-746.0,2102.0,-7576.0,4215.0
2930.0,1173.0,-625.0,884.0,-4758.0,551.0
1246.0,926.0,-305.0,-91.0,-2330.0,-789.0
-641.0,1024.0,1009.0,-1127.0,408.0,-2068.0
-4664.0,1749.0,6894.0,-2140.0,3288.0,-3269.0
-3573.0,522.0,7718.0,-2921.0,5711.0,-4606.0
-1535.0,-97.0,1370.0,-3409.0,7504.0,-6240.0
-2063.0,1688.0,-7374.0,-4055.0,9049.0,-8040.0
-9128.0,4067.0,-14923.0,-4664.0,10973.0,-9194.0
-18769.0,-2823.0,-1644.0,-5068.0,12843.0,-9305.0
-19266.0,-2084.0,1276.0,-4681.0,15323.0,-8589.0
-14397.0,89.0,1150.0,-1999.0,18354.0,-7755.0
-9056.0,1043.0,858.0,3473.0,19036.0,-7254.0
-4643.0,2990.0,-600.0,6434.0,16113.0,-7180.0
