AccelerometerX,AccelerometerY,AccelerometerZ,GyroscopeX,GyroscopeY,GyroscopeZ
-3837.0,1350.0,-992.0,1108.0,21940.0,615.0
-4542.0,1241.0,-1477.0,1787.0,23504.0,817.0
-5523.0,1299.0,-1705.0,2436.0,24193.0,1157.0
-6082.0,1588.0,-1527.0,3183.0,24019.0,1437.0
-5986.0,1741.0,-1350.0,3703.0,23315.0,1662.0
-5585.0,1739.0,-1354.0,3801.0,22173.0,1817.0
-4950.0,1714.0,-1328.0,3658.0,20697.0,1806.0
-4080.0,1543.0,-1464.0,3484.0,18588.0,1634.0
-3491.0,1506.0,-1503.0,2380.0,8081.0,1690.0
-3361.0,1492.0,-1464.0,1852.0,4837.0,1668.0
-3540.0,1483.0,-1217.0,1337.0,2606.0,1574.0
-4000.0,1470.0,-1312.0,995.0,1433.0,1427.0
-4083.0,1476.0,-1203.0,797.0,1151.0,1092.0
-3989.0,1512.0,-1126.0,656.0,1357.0,702.0
-3756.0,1506.0,-1042.0,464.0,1633.0,409.0
-3619.0,1478.0,-1101.0,389.0,1653.0,238.0
-3557.0,1495.0,-1135.0,309.0,1429.0,182.0
-3559.0,1512.0,-1133.0,174.0,1057.0,140.0
-3656.0,1555.0,-1026.0,56.0,580.0,84.0
-3634.0,1533.0,-960.0,-24.0,182.0,96.0
-3664.0,1494.0,-1003.0,-75.0,-19.0,67.0
-3896.0,1497.0,-1072.0,-76.0,-55.0,31.0
-4101.0,1567.0,-1091.0,-54.0,-33.0,-7.0
-4202.0,1622.0,-1144.0,-27.0,-46.0,-63.0
-4231.0,1607.0,-1242.0,-62.0,-40.0,-92.0
-4254.0,1581.0,-1253.0,-220.0,-400.0,-257.0
-4150.0,1572.0,-1055.0,-334.0,-967.0,-286.0
-4426.0,1505.0,-769.0,-449.0,-1576.0,-291.0
-4586.0,1506.0,-683.0,-562.0,-2178.0,-313.0
-4731.0,1457.0,-748.0,-696.0,-2681.0,-305.0
-4941.0,1479.0,-757.0,-726.0,-3113.0,-289.0
-5063.0,1472.0,-747.0,-753.0,-3510.0,-301.0
-5077.0,1449.0,-1101.0,-842.0,-4001.0,-332.0
-5127.0,1489.0,-1369.0,-930.0,-4697.0,-386.0
-5108.0,1439.0,-1315.0,-1077.0,-5479.0,-395.0
-5022.0,1283.0,-872.0,-1214.0,-6489.0,-393.0
-4851.0,1010.0,-474.0,-1392.0,-7640.0,-438.0
-4587.0,836.0,-183.0,-1624.0,-9049.0,-456.0
-4147.0,807.0,3.0,-1767.0,-10715.0,-403.0
-3446.0,929.0,102.0,-1984.0,-12296.0,-301.0
-2685.0,1169.0,131.0,-2277.0,-13942.0,-270.0
-1648.0,1579.0,241.0,-2437.0,-15963.0,-358.0
89.0,1908.0,216.0,-1505.0,-23418.0,-313.0
2138.0,1861.0,974.0,-1010.0,-25579.0,114.0
4096.0,1617.0,1568.0,-585.0,-27073.0,779.0
6151.0,214.0,3226.0,-529.0,-27228.0,1620.0
3211.0,-93.0,2988.0,-1275.0,-25186.0,2054.0
499.0,-230.0,2705.0,-2152.0,-22284.0,1942.0
-1822.0,-224.0,3195.0,-2338.0,-18113.0,1767.0
-3486.0,394.0,3608.0,-2063.0,-10355.0,1171.0
-2094.0,942.0,3638.0,-2548.0,-2374.0,434.0
551.0,1043.0,3455.0,-2434.0,1986.0,-83.0
2542.0,949.0,3388.0,-1554.0,3701.0,66.0
3368.0,689.0,3641.0,-834.0,3481.0,566.0
3065.0,677.0,3675.0,128.0,1528.0,1009.0
2127.0,937.0,3581.0,698.0,-278.0,1104.0
1264.0,1158.0,3504.0,120.0,-2652.0,747.0
