AccelerometerX,AccelerometerY,AccelerometerZ,Subject
-1241,-962,3971,1
-1232,-967,3936,1
-1219,-956,3919,1
-1230,-936,3925,1
-1212,-937,3896,1
-1164,-952,3891,1
-1153,-949,3908,1
-1192,-960,3954,1
-1217,-965,3965,1
-1224,-939,3944,1
-1215,-925,3917,1
-1180,-914,3905,1
-1225,-936,3930,1
-1211,-923,3936,1
-1210,-947,3914,1
-1201,-957,3920,1
-1234,-940,3932,1
-1179,-928,3924,1
-1165,-919,3901,1
-1189,-930,3910,1
-1213,-920,3920,1
-1195,-910,3924,1
-1181,-919,3928,1
-1195,-912,3923,1
-1185,-910,3946,1
-1205,-924,3926,1
-1256,-905,3910,1
-1231,-920,3948,1
-1263,-926,3954,1
-1253,-927,3936,1
-1273,-928,3950,1
-1297,-937,3949,1
-1352,-960,3910,1
-1416,-981,3878,1
-1504,-1028,3907,1
-1417,-979,3914,1
-1437,-958,3927,1
-1385,-951,3950,1
-1361,-936,3908,1
-1370,-932,3845,1
-1421,-942,3829,1
-1428,-855,3899,1
-1556,-892,4039,1
-1573,-898,4063,1
-1587,-879,4067,1
-1623,-842,4122,1
-1586,-811,4192,1
-1534,-820,4094,1
-1460,-741,4050,1
-1444,-755,4002,1
-1356,-699,3817,1
-1423,-767,3886,1
-1407,-800,3864,1
-998,-576,3794,1
-1042,-613,3622,1
-1133,-720,3762,1
-1022,-714,3938,1
-806,-582,4062,1
-783,-653,3953,1
-1013,-740,3792,1
-1139,-861,3924,1
-918,-754,4221,1
-666,-683,4132,1
-623,-653,4023,1
-678,-676,3857,1
-713,-723,3864,1
-714,-734,3955,1
-577,-708,3966,1
-569,-692,3853,1
-592,-712,3919,1
-666,-752,4022,1
-762,-782,4053,1
-911,-809,4026,1
-983,-835,4044,1
-1106,-858,4044,1
-1149,-839,4061,1
-1193,-857,4049,1
-1148,-826,4034,1
-1149,-803,4024,1
-1125,-796,3994,1
-1139,-802,3951,1
-1161,-806,3990,1
-1161,-815,3974,1
-1190,-830,3988,1
-1198,-835,3962,1
-1145,-834,3930,1
-1144,-845,3926,1
-1147,-819,3906,1
-1155,-853,3949,1
-1187,-858,3966,1
-1149,-853,3968,1
-1115,-862,3940,1
-1111,-835,3943,1
-1120,-856,3953,1
-1156,-861,3950,1
-1131,-868,3944,1
-1069,-863,3930,1
-1087,-846,3927,1
-1107,-863,3958,1
-1123,-860,3931,1
-1132,-856,3905,1
-1145,-852,3943,1
-1142,-881,3972,1
-1113,-882,3930,1
-1122,-857,3965,1
-1123,-847,3974,1
-1131,-863,3981,1
-1135,-894,3996,1
-1140,-878,3950,1
-1106,-850,3938,1
-1108,-855,3974,1
-1099,-858,4018,1
-1114,-878,4015,1
-1072,-874,4052,1
-1098,-901,4004,1
-1104,-915,3994,1
-1103,-902,4044,1
-1008,-885,4134,1
-904,-825,4246,1
-940,-797,4394,1
-1056,-827,4718,1
-1027,-822,5425,1
-1162,-784,6137,1
-1312,-714,6750,1
-1676,-884,7304,1
-2154,-1068,7473,1
-1527,-1151,5995,1
-1307,-1094,5009,1
-945,-932,4062,1
-763,-758,3144,1
-780,-658,2526,1
-764,-569,2409,1
-618,-269,2511,1
-779,-150,2139,1
-808,-33,1526,1
-797,-18,1339,1
-491,184,1535,1
-444,58,1945,1
-396,-17,2156,1
-425,-86,1863,1
-583,-186,1620,1
-716,-167,1706,1
-775,-131,1759,1
-636,-47,1822,1
-146,26,1213,1
-2,-88,1158,1
-227,-131,1388,1
-207,-73,1699,1
-138,-157,1623,1
-482,-520,1419,1
-1412,-1013,1894,1
-2377,-1343,2887,1
-2361,-1022,3565,1
-1880,-870,3311,1
-1805,-1002,3245,1
-2846,-1951,5007,1
-3698,-2293,7616,1
-2889,-1551,7744,1
-2319,-1324,6704,1
-2621,-1478,6462,1
-2739,-1276,6912,1
-2448,-1075,6961,1
-2074,-907,6370,1
-1755,-872,5077,1
-1599,-901,4672,1
-1505,-959,4385,1
-1380,-954,4107,1
-1452,-1081,3957,1
-1548,-1279,3994,1
-1428,-1265,3880,1
-1343,-1222,3787,1
-1385,-1264,3724,1
-1425,-1277,3689,1
-1432,-1273,3670,1
-1429,-1283,3669,1
-1401,-1248,3682,1
-1392,-1252,3677,1
-1338,-1206,3690,1
-1378,-1246,3783,1
-1388,-1221,3760,1
-1356,-1207,3759,1
-1371,-1210,3815,1
-1416,-1194,3840,1
-1421,-1193,3875,1
-1411,-1174,3852,1
-1350,-1175,3875,1
-1293,-1122,3913,1
-1290,-1140,3848,1
-1357,-1187,3819,1
-1392,-1178,3882,1
-1397,-1143,3875,1
-1330,-1156,3902,1
-1376,-1164,3894,1
-1368,-1161,3904,1
-1391,-1171,3880,1
-1415,-1185,3882,1
-1381,-1153,3824,1
-1354,-1179,3873,1
-1329,-1144,3842,1
-1330,-1165,3847,1
-1324,-1153,3823,1
-1315,-1155,3852,1
-1316,-1133,3835,1
-1343,-1169,3854,1
-1372,-1168,3852,1
-1340,-1176,3823,1
-1323,-1160,3867,1
-1313,-1151,3833,1
-1307,-1147,3829,1
-1302,-1150,3826,1
-1287,-1115,3833,1
-1334,-1137,3864,1
-1342,-1142,3868,1
-1313,-1135,3848,1
-1304,-1112,3856,1
-1301,-1114,3883,1
-1302,-1113,3840,1
-1324,-1126,3877,1
-1305,-1108,3886,1
-1324,-1125,3896,1
-1325,-1083,3889,1
-1309,-1088,3877,1
-1331,-1083,3858,1
-1356,-1117,3891,1
-1345,-1098,3903,1
-1317,-1113,3905,1
-1300,-1092,3828,1
-1321,-1127,3849,1
-1327,-1106,3885,1
-1342,-1090,3852,1
-1337,-1099,3846,1
-1350,-1065,3873,1
-1414,-1098,3934,1
-1461,-1103,3924,1
-1513,-1118,3912,1
-1607,-1118,3936,1
-1762,-1184,4018,1
-1741,-1086,3902,1
-1702,-1045,3885,1
-1614,-997,3916,1
-1522,-948,3894,1
