AccelerometerX,AccelerometerY,AccelerometerZ,Gesture,GyroscopeX,GyroscopeY,GyroscopeZ
-806.0,-129.0,4356.0,A,-236.0,-103.0,-8.0
-791.0,-133.0,4374.0,A,-291.0,-140.0,-2.0
-803.0,-142.0,4354.0,A,-275.0,-109.0,7.0
-828.0,-155.0,4329.0,A,-227.0,-47.0,20.0
-847.0,-149.0,4327.0,A,-183.0,6.0,28.0
-859.0,-107.0,4343.0,A,-146.0,42.0,33.0
-866.0,-57.0,4366.0,A,-118.0,67.0,36.0
-863.0,-33.0,4414.0,A,-127.0,67.0,42.0
-854.0,-28.0,4485.0,A,-160.0,37.0,53.0
-855.0,-3.0,4552.0,A,-172.0,1.0,69.0
-864.0,52.0,4610.0,A,-166.0,-14.0,81.0
-866.0,117.0,4695.0,A,-215.0,-28.0,82.0
-850.0,172.0,4817.0,A,-350.0,-66.0,71.0
-833.0,233.0,4937.0,A,-475.0,-118.0,64.0
-837.0,308.0,5034.0,A,-488.0,-171.0,70.0
-866.0,376.0,5159.0,A,-393.0,-243.0,85.0
-893.0,426.0,5342.0,A,-258.0,-341.0,90.0
-901.0,466.0,5527.0,A,-94.0,-407.0,77.0
-889.0,506.0,5647.0,A,102.0,-370.0,50.0
-868.0,527.0,5733.0,A,276.0,-253.0,17.0
-834.0,534.0,5866.0,A,372.0,-140.0,-17.0
-791.0,581.0,6052.0,A,448.0,-64.0,-46.0
-765.0,717.0,6215.0,A,586.0,16.0,-68.0
-775.0,895.0,6311.0,A,750.0,120.0,-87.0
-801.0,1010.0,6376.0,A,831.0,205.0,-116.0
-798.0,1014.0,6443.0,A,844.0,236.0,-155.0
-761.0,961.0,6494.0,A,913.0,231.0,-192.0
-722.0,899.0,6488.0,A,1080.0,195.0,-219.0
-692.0,818.0,6420.0,A,1241.0,112.0,-245.0
-629.0,702.0,6330.0,A,1336.0,-2.0,-276.0
-510.0,608.0,6289.0,A,1433.0,-80.0,-311.0
-388.0,596.0,6349.0,A,1604.0,-83.0,-336.0
-329.0,648.0,6487.0,A,1806.0,-41.0,-355.0
-333.0,691.0,6604.0,A,1977.0,8.0,-378.0
-343.0,703.0,6627.0,A,2135.0,71.0,-418.0
-334.0,706.0,6573.0,A,2306.0,129.0,-472.0
-330.0,696.0,6511.0,A,2454.0,121.0,-535.0
-360.0,647.0,6458.0,A,2557.0,23.0,-598.0
-439.0,590.0,6395.0,A,2690.0,-85.0,-659.0
-578.0,594.0,6322.0,A,2921.0,-116.0,-713.0
-756.0,664.0,6252.0,A,3199.0,-70.0,-761.0
-879.0,707.0,6154.0,A,3412.0,-9.0,-795.0
-864.0,662.0,5992.0,A,3543.0,40.0,-800.0
-734.0,573.0,5789.0,A,3667.0,95.0,-761.0
-589.0,503.0,5608.0,A,3839.0,165.0,-686.0
-463.0,425.0,5443.0,A,4058.0,240.0,-596.0
-299.0,284.0,5229.0,A,4314.0,309.0,-514.0
-94.0,106.0,4941.0,A,4567.0,315.0,-447.0
53.0,-20.0,4633.0,A,4722.0,178.0,-408.0
66.0,-72.0,4337.0,A,4689.0,-112.0,-412.0
15.0,-116.0,4026.0,A,4517.0,-422.0,-468.0
17.0,-215.0,3690.0,A,4346.0,-591.0,-557.0
84.0,-360.0,3393.0,A,4260.0,-590.0,-651.0
132.0,-495.0,3177.0,A,4217.0,-504.0,-731.0
118.0,-582.0,2988.0,A,4163.0,-395.0,-799.0
68.0,-608.0,2741.0,A,4111.0,-240.0,-860.0
22.0,-591.0,2434.0,A,4093.0,-19.0,-922.0
-12.0,-557.0,2137.0,A,4073.0,234.0,-985.0
-33.0,-526.0,1870.0,A,3991.0,469.0,-1054.0
-52.0,-479.0,1583.0,A,3818.0,647.0,-1124.0
-106.0,-395.0,1231.0,A,3568.0,733.0,-1192.0
-221.0,-289.0,854.0,A,3256.0,688.0,-1257.0
-351.0,-204.0,524.0,A,2907.0,527.0,-1326.0
-426.0,-157.0,283.0,A,2568.0,317.0,-1391.0
-430.0,-129.0,116.0,A,2283.0,133.0,-1435.0
-407.0,-104.0,12.0,A,2066.0,14.0,-1439.0
-382.0,-89.0,-7.0,A,1937.0,-9.0,-1408.0
-357.0,-78.0,85.0,A,1917.0,78.0,-1358.0
-344.0,-43.0,262.0,A,1978.0,224.0,-1314.0
-382.0,34.0,442.0,A,1998.0,319.0,-1292.0
-478.0,140.0,553.0,A,1861.0,282.0,-1301.0
-602.0,245.0,596.0,A,1576.0,122.0,-1331.0
-710.0,338.0,605.0,A,1250.0,-101.0,-1367.0
-777.0,403.0,594.0,A,939.0,-362.0,-1391.0
-796.0,436.0,566.0,A,613.0,-655.0,-1401.0
-800.0,454.0,578.0,A,256.0,-934.0,-1392.0
-823.0,500.0,709.0,A,-63.0,-1124.0,-1361.0
-849.0,575.0,953.0,A,-283.0,-1179.0,-1305.0
-812.0,626.0,1189.0,A,-424.0,-1123.0,-1239.0
-711.0,606.0,1324.0,A,-540.0,-1017.0,-1180.0
-664.0,551.0,1406.0,A,-640.0,-924.0,-1140.0
-772.0,549.0,1569.0,A,-733.0,-885.0,-1128.0
-994.0,651.0,1847.0,A,-885.0,-923.0,-1155.0
-1198.0,806.0,2134.0,A,-1147.0,-1019.0,-1212.0
-1323.0,916.0,2308.0,A,-1467.0,-1127.0,-1261.0
-1380.0,915.0,2373.0,A,-1743.0,-1212.0,-1254.0
-1364.0,817.0,2422.0,A,-1964.0,-1287.0,-1181.0
-1257.0,691.0,2525.0,A,-2189.0,-1372.0,-1069.0
-1130.0,605.0,2670.0,A,-2431.0,-1439.0,-955.0
-1087.0,575.0,2816.0,A,-2628.0,-1404.0,-851.0
-1129.0,580.0,2947.0,A,-2760.0,-1223.0,-762.0
-1152.0,598.0,3090.0,A,-2874.0,-949.0,-696.0
-1135.0,637.0,3270.0,A,-3000.0,-693.0,-667.0
-1163.0,703.0,3479.0,A,-3103.0,-524.0,-669.0
-1269.0,768.0,3652.0,A,-3174.0,-449.0,-686.0
-1347.0,790.0,3729.0,A,-3242.0,-444.0,-692.0
-1322.0,782.0,3731.0,A,-3309.0,-492.0,-670.0
-1274.0,820.0,3757.0,A,-3341.0,-574.0,-616.0
-1328.0,968.0,3851.0,A,-3380.0,-678.0,-549.0
-1467.0,1158.0,3932.0,A,-3527.0,-795.0,-494.0
-1564.0,1219.0,3913.0,A,-3790.0,-920.0,-465.0
-1532.0,1031.0,3908.0,A,-4043.0,-1036.0,-442.0
-1403.0,688.0,4167.0,A,-4206.0,-1148.0,-396.0
-1284.0,431.0,4784.0,A,-4323.0,-1277.0,-311.0
-1307.0,441.0,5544.0,A,-4396.0,-1383.0,-203.0
-1536.0,675.0,6157.0,A,-4284.0,-1301.0,-108.0
-1884.0,949.0,6554.0,A,-3921.0,-889.0,-75.0
-2152.0,1119.0,6854.0,A,-3506.0,-229.0,-116.0
-2215.0,1169.0,7124.0,A,-3297.0,369.0,-187.0
-2115.0,1137.0,7303.0,A,-3271.0,646.0,-199.0
-1955.0,1055.0,7375.0,A,-3195.0,582.0,-101.0
-1770.0,951.0,7411.0,A,-2996.0,287.0,85.0
